PC1,PC2,Cluster
-2.5215567910505507,-0.1834414566359061,3
-2.5644744445665344,0.1649321290316283,3
0.8632432421522105,2.371808104547532,1
-1.1536395734985911,-2.554380545336988,0
-2.255279942898902,1.116736703047701,3
-1.8839604677737944,-0.1537169819676735,3
-1.440632547069594,1.5062190024265456,1
-1.7120221796696602,0.4279989541494636,3
0.4406369244323004,-1.482737009985803,0
3.1861003164927597,1.1809431962391486,2
-0.7573188223821599,-3.5817094274981485,0
-1.6100233165539528,0.4628183362880162,3
-0.5747977344164182,-3.3512493432899784,0
-2.8601580024791327,0.3485004725177036,3
1.0080588450333476,-1.5136067625932312,0
2.598437397949292,-0.2962505924287255,2
-1.330373519807894,1.323667838084218,1
-2.97540702746355,-0.6795677894944061,3
-0.0338778087829493,1.0489740805990646,1
1.8765581100974549,1.6243643185692702,2
1.5616522454260098,-1.0475504067424857,2
-1.8755539521654447,1.6850831987349304,1
0.3667724464370515,-1.195879791113836,0
-1.5620924835126142,2.3197194908537155,1
1.0149367059564725,0.6622182184839711,2
-3.028052090879664,0.1271388777640247,3
-1.4046514806967356,-1.9319847807890216,0
-1.3656212015471207,0.4337538320454701,3
1.7604359142510266,-1.4940518444401791,2
-2.5651031109686957,-0.9257044603035008,3
-2.6415098127991468,-0.255495642198704,3
-1.7714459138283916,2.045701715157838,1
2.7661802660811703,-0.064586587195237,2
-0.5908835120621244,1.7227143584471662,1
-2.388238894687683,-0.1131259831250902,3
-0.9509475075125806,-0.5577697990162693,0
3.926041772418676,-0.1491437012961323,2
-2.447507570562212,-0.0090996142225855,3
-3.0023836924569047,-0.3912423669436257,3
-1.0235895863598174,3.326242375495269,1
-2.8283082397708235,-0.2562234047236064,3
-1.047123815512717,2.973764685714714,1
-0.6226642486586265,-3.189102408924884,0
2.540785603330406,1.1383240693513872,2
2.3298469003410958,0.0165552124317181,2
-2.281367616155283,1.406191205501725,3
-3.088364776851596,0.4673186739857375,3
-1.6848979382613107,1.2820540496640316,1
-2.7324337484005934,1.1558941923913175,3
4.110753430095489,0.2872544576510971,2
1.7659196728502735,-0.2323832738697413,2
3.0330138936266566,-0.3807700363414854,2
-1.6432658975459646,1.571448500459062,1
-3.446957009474259,-0.0741865130925543,3
-1.6180619231269864,1.3669403296624696,1
3.679554384791453,1.0800492579147825,2
0.6514492124989609,-1.0007383065061326,0
3.1156070620137504,0.0370786621266164,2
1.8742503948557212,0.0788806846567411,2
-3.06034720136898,-0.8748742043343031,3
-0.7121754173642614,-1.1922440902012854,0
-0.3689514135122046,1.668182983915348,1
0.1379364450366128,1.8558290755887523,1
